order_amount,product_category,payment_method,return_reason,past_returns,past_returns.1,past_returns.2,delivery_delay_days,refund_type,is_fraud,risk
411.59,Clothing,Debit Card,Changed mind,1.0,Returned,387.0,0.0,Instant,0,Low
288.88,Books,Credit Card,Wrong item,1.0,Returned,31.0,0.0,Instant,0,Low
390.03,Toys,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
401.09,Toys,PayPal,,3.0,Not Returned,,0.0,Post,0,Medium
110.09,Books,Gift Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
252.12,Electronics,Debit Card,Defective,3.0,Returned,221.0,0.0,Post,0,Medium
382.89,Clothing,Credit Card,Used then returned,4.0,Returned,66.0,0.0,Instant,1,High
306.39,Electronics,Credit Card,Used then returned,4.0,Returned,539.0,0.0,Instant,1,High
302.4,Home,Debit Card,Defective,0.0,Returned,-91.0,0.0,Instant,0,Low
294.94,Clothing,Credit Card,Not as described,1.0,Returned,317.0,0.0,Instant,0,Low
119.0,Toys,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
480.48,Home,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
216.41,Toys,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
198.78,Electronics,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
146.37,Electronics,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
370.08,Electronics,Credit Card,Wrong item,1.0,Returned,-303.0,0.0,Instant,0,Low
311.08,Clothing,PayPal,Item Damaged,4.0,Not Returned,,0.0,Instant,1,High
400.12,Electronics,PayPal,Not Delivered,3.0,Returned,120.0,0.0,Instant,1,High
358.31,Books,PayPal,Changed mind,3.0,Returned,-569.0,0.0,Post,0,Medium
227.94,Electronics,Debit Card,Changed mind,0.0,Returned,-66.0,0.0,Instant,0,Low
6.14,Clothing,Credit Card,,3.0,Not Returned,,0.0,Post,0,Medium
85.69,Books,Debit Card,Item Damaged,5.0,Returned,-418.0,0.0,Instant,1,High
